"id";"plugin"
"1";"Abandoned Car Lite for WooCommerce"
"2";"ACF QuickEdit Fields"
"3";"Addendio Plus"
"4";"Admin Menu Editor"
"5";"Advanced Custom Fields"
"6";"Advanced order Export for WooCommerce"
"7";"Advanced Post Slider"
"8";"Advanced Sidebar Menu"
"9";"Akismet Anti-Spam"
"10";"Asesor de Cookies"
"11";"Awesome Shortcodes for Genesis"
"12";"Better Click To Tweet"
"13";"Better WordPress Minify"
"14";"Blox Lite -Content Blocks for Genesis"
"15";"Bring Back the Get Shortlink Button"
"16";"Cantidades y unidades para WooCommerce"
"17";"Canvas Extension Align Menu Right"
"18";"Capability manager Enhanced"
"19";"CategoryTinymce"
"20";"Category Posts in Custom Menu"
"21";"Classic Editor"
"22";"Collapsing Categories"
"23";"Coming Soon Page & Maintenance Mode by SeedProd"
"24";"Coming Soon Page, Under Construction & Maintenance Mode by Seedprod"
"25";"Contact Form"
"26";"CopyRightPro"
"27";"Custom Order Status for WooCommerce"
"28";"Custom Related Products for WooCommerce"
"29";"Custom Sidebars"
"30";"Display Posts"
"31";"Display Posts Shortcode"
"32";"Display Widgets"
"33";"Download Manager"
"34";"Duplicate Post"
"35";"Easy FancyBox"
"36";"Easy iFrame Loader"
"37";"Embed Plus for Youtube - Gallery, Channel, Playlist, Live Stream"
"38";"Export Users to CSV"
"39";"Fancy Gallery (radycal)"
"40";"Fast Velocity Minify"
"41";"Features"
"42";"Flipping cards"
"43";"Font Awesome"
"44";"Force Download Shortcode"
"45";"Galeria de Canal de Youtube"
"46";"Galeria NextGEN"
"47";"GDPR Cookie Consent"
"48";"Gecka Submenu"
"49";"Genesis Columns Advanced"
"50";"Genesis Connect for WooCommerce"
"51";"Genesis Easy Columns"
"52";"Genesis Featured Page Advanced"
"53";"Genesis Grid"
"54";"Genesis Simple Share"
"55";"Genesis Widget Column Classes"
"56";"Google Analytics para WordPress por MonsterInsights"
"57";"Google Tag Manager for WordPress"
"58";"Google XML Sitemaps"
"59";"GP Limit Checkboxes"
"60";"GP Terms of Service"
"61";"Gravity Forms"
"62";"Gravity Forms Multilingual"
"63";"Gravity Forms User Registration Add-On"
"64";"Gravity Perks"
"65";"Hide All Notices"
"66";"Image Hover Effects Ultimate (Photo Gallery, Effects, Lightbox, Comparison or Magnifier)"
"67";"Image Widget"
"68";"Imsanity"
"69";"Ithemes Security"
"70";"JetPack by WordPress.com"
"71";"Loco Translate"
"72";"MailPoet 2"
"73";"MailPoet 2 Premium"
"74";"Max Mega Menu"
"75";"MCE Table Buttons"
"76";"Members"
"77";"MetaSlider"
"78";"New Social Media Widget"
"79";"New User Approve"
"80";"Notificacion de Pedido para WooCommerce HispaSMS"
"81";"Optimized Sharing"
"82";"Page Builder by SiteOrigin"
"83";"Page Links To"
"84";"Page-list"
"85";"Pasarela de pago para Redsys"
"86";"PB SEO Friendly Images"
"87";"PHP code snippets (Insert PHP)"
"88";"PickPlugins Product Slider for WooCommerce"
"89";"Popup Maker"
"90";"Post Content Shortcodes"
"91";"Post SMTP"
"92";"Post Types Order"
"93";"Postman SMTP"
"94";"Premmerce WooCommerce Wholesale Pricing"
"95";"Pronamic Google Maps"
"96";"Proyectos"
"97";"PublishPress Capabilities"
"98";"QueryLoop Product Slider"
"99";"Read More Excerpt Link"
"100";"Really Simple CAPTCHA"
"101";"Recent Tweets Widget"
"102";"Redireccion a Contact Form 7 Pro"
"103";"Regenerate Thumbnails"
"104";"Request Call Back"
"105";"Responsive Lightbox & Gallery"
"106";"Responsive WordPress Slider - Soliloquy Lite"
"107";"Rich Text Tags, Categories and Taxonomies"
"108";"Scripts n Styles"
"109";"Search By SKU - for WooCommerce"
"110";"Share Buttons by AddThis"
"111";"Shortcodes by Angie Makes"
"112";"Shortcodes Ultimate"
"113";"Simple Lightbox"
"114";"Simple Page Ordering"
"115";"Simple Share Buttons Adder"
"116";"Simple Social Icons"
"117";"Scroll Back to Top"
"118";"Smash Balloon Instagram Feed"
"119";"Smoosh Scroll Up"
"120";"Smush"
"121";"Social Icons Widget & Block by WPZOOM"
"122";"Social Media Widget"
"123";"Social Profiles Widget"
"124";"Store Locator Plus"
"125";"Tabby Responsive Tabs"
"126";"Testimonial Manager"
"127";"Testimonials"
"128";"The7 Convert Plus"
"129";"The7 Elementos"
"130";"The7 Go Pricing - WordPress Responsive Pricing Tables"
"131";"The7 LayerSlider WP"
"132";"The7 Slider Revolution"
"133";"The7 Ultimate Addons for WPBakery Page Builder"
"134";"The7 WPBakery Page Builder"
"135";"Top Flash Embed"
"136";"Tp Scroll Top"
"137";"UniConsent Cookie Consent CMP for GDPR / CCPA"
"138";"User Menus"
"139";"User Role Editor"
"140";"V Slider"
"141";"Variation Images Gallery for WooCommerce"
"142";"WC APG Campo NIF/CIF/NIE"
"143";"Widget de Mapas de Google"
"144";"WooCommerce"
"145";"WooCommerce Back In Stock Notifier"
"146";"WooCommerce Brands"
"147";"WooCommerce Catalog"
"148";"WooCommerce Catalog Visibility Options"
"149";"WooCommerce Checkout Manager"
"150";"WooCommerce Email Test"
"151";"WooCommerce Google Analytics Integration"
"152";"WooCommerce Gravity Forms Product Add Ons"
"153";"WooCommerce Helper"
"154";"WooCommerce International phone Input"
"155";"WooCommerce Menu Cart"
"156";"WooCommerce Multilingual"
"157";"WooCommerce PDF Invoices & Packing Slips"
"158";"WooCommerce Product Enquiry Form"
"159";"WooCommerce Product CSV Import Suite"
"160";"WooCommerce Redsys Gateway Light"
"161";"WooCommerce Services"
"162";"WooCommerce Shortcodes"
"163";"WooCommerce Sort by Stock"
"164";"WooCommerce Table Rate Shipping"
"165";"WooCommerce Variation Details on Page Product"
"166";"WooCommerce Waitlist"
"167";"WooDojo"
"168";"WooSidebars"
"169";"WooSlider"
"170";"WooThemes Helper"
"171";"Wordfence Security"
"172";"WordPress Importer"
"173";"WordPress Related Posts"
"174";"WP Colorbox"
"175";"WP Custom Login Page Logo"
"176";"WP Logo Showcase Responsive Slider"
"177";"Wp Mail SMTP"
"178";"WP Migrate DB"
"179";"WP SEO Structured Data Schema"
"180";"WPB Accordion Menu or Category"
"181";"WPFront Scroll Top"
"182";"WPML CMS Nav"
"183";"WPML Media"
"184";"WPML Multilingual CMS"
"185";"WPML String Translation"
"186";"WPML Translation Management"
"187";"WP Show Posts"
"188";"YITH WooCommerce Badge Management"
"189";"YITH WooCommerce Catalog Mode"
"190";"YITH WooCommerce Category Accordion"
"191";"YITH WooCommerce Wishlist"
"192";"Yoast SEO"
"193";"Yoast SEO Multilingual"
"194";"Yoas SEO Search Index Purge"
